split,layer,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,log_loss_mean,log_loss_std,brier_mean,brier_std,roc_auc_mean,roc_auc_std
participant,23,0.9353383458646617,0.01462572982502903,0.9334779149336582,0.014188005473863058,0.19097877850410835,0.03743584544851129,0.04946042595571022,0.01112324130223107,0.9797682900064096,0.006983142493208404
participant,24,0.9280200501253132,0.01358178639585947,0.9255059580712584,0.015951328196573227,0.21389602888031028,0.03407622738778423,0.05708342785095729,0.010511394359792316,0.9748591799804587,0.009668186927202626
participant,25,0.9317794486215538,0.010907871684615461,0.9295689649409876,0.01281780428727816,0.2152788470242742,0.030415649002369025,0.05665260164157845,0.00839681021228559,0.9747912332328008,0.009030564423742105
participant,26,0.9345864661654135,0.014423553453572099,0.9332363363072504,0.01620995214099774,0.218252824727801,0.03789673923897476,0.056086938740334304,0.0089551952503681,0.974928508043277,0.009841989252585863
participant,27,0.9315789473684211,0.016222142113076276,0.9301485623551644,0.017468947314698367,0.22152761483208985,0.03484845624196742,0.058071355319435115,0.009154288895954243,0.9734839988461236,0.009400989352389295
participant,28,0.9181954887218045,0.01380108362081076,0.9148651859353931,0.017158187609187896,0.2406751179264063,0.025485592280472414,0.0655948827254838,0.006858418755414219,0.9687552049525534,0.010113718153810269
participant,29,0.9399498746867169,0.0063021494114489035,0.9383029187498755,0.008235884987861678,0.2033675995404986,0.02448173413396245,0.052917548553426154,0.005533350182707723,0.9789164072429228,0.007420219769494799
participant,30,0.9420050125313283,0.011316559645394667,0.940692789267169,0.013181229581351279,0.19721116439601977,0.019846886149986875,0.051546098208890834,0.0048021588591110175,0.9800976861135993,0.005836675035045544
participant,31,0.9427568922305763,0.012743319662824095,0.9415661177249106,0.014527293830261214,0.18622366949901542,0.020270212101682242,0.048822493013120506,0.004888311659896718,0.9826484711934118,0.0054022838648248505
participant,32,0.9377443609022557,0.007882992418016365,0.9355534457670878,0.010700385165153278,0.1956403900014671,0.025961331799688004,0.052470159205941926,0.005496703292885371,0.9801932241140483,0.006385665557525513
problem,0,0.5872685185185185,0.0445459031946442,0.4989691704883105,0.0027732097868286057,0.6971447646468392,0.025645679533406088,0.24522010983112558,0.007096442192840092,0.5028509218184916,0.005399182306827389
problem,1,0.7581018518518519,0.018060748303619464,0.7503324518323004,0.014462244419714191,0.5325604402071,0.03755193163987404,0.1704492341763449,0.009443413055190275,0.8166721876930344,0.01965477659512467
problem,2,0.7828703703703703,0.02370001870227828,0.7762491624876537,0.022395087126638603,0.4718909012136723,0.045351674765847005,0.14868648727078845,0.012834770713918203,0.857778412198293,0.022153619511005414
problem,3,0.8081018518518519,0.027818739089200854,0.8013496797723828,0.026720714359480823,0.44226574630365106,0.05613617952806123,0.13541236247252175,0.017880668836480918,0.8805585264067146,0.030933682199162094
problem,4,0.8150462962962962,0.030141520053549805,0.8078506397892659,0.03246199779034159,0.4278221909294454,0.05962242565147418,0.13180593379937738,0.018915230576442045,0.8855327595037567,0.031801016417298524
problem,5,0.8208333333333334,0.020335486756036546,0.8147280980376379,0.022240241153313505,0.42207572738612187,0.05467630334853583,0.13075486147180346,0.017757205847717242,0.8859471675898515,0.028221805787672787
problem,6,0.8162037037037037,0.020791496057259558,0.8122478119294876,0.022297484364210966,0.4248480138898943,0.04016616641531724,0.13037666778742513,0.015185613504294497,0.8905689255107088,0.024375231112330135
problem,7,0.8736111111111111,0.019733711442198373,0.8680761938883169,0.01878089716901958,0.31305588420550623,0.026695161226387338,0.09407878752543743,0.009453280605509333,0.9392720563474297,0.011684617143029536
problem,8,0.8840277777777779,0.017116329922036416,0.8808754421203477,0.01804022271338218,0.29896422456679966,0.028105740621813816,0.0895173202661583,0.010838718175756802,0.943914719535355,0.01123343899754112
problem,9,0.8858796296296296,0.020073595730258166,0.8826280627608613,0.019367382857504944,0.297101453157978,0.03792964515871454,0.08509538568686847,0.011744477767031906,0.9443076012096894,0.010751230632413017
problem,10,0.9106481481481481,0.01765568001222561,0.9072132851758745,0.017102732681282602,0.2388664511735498,0.0323677911471733,0.06841417774729175,0.010364548062195366,0.9622557803693892,0.009171177488936267
problem,11,0.9263888888888889,0.010814174654442673,0.9236885330378964,0.012227635082190255,0.21848039343303527,0.028118983918040692,0.05864559768022983,0.006852585855434217,0.968841116267695,0.007562569023715389
problem,12,0.9261574074074075,0.005137115977123194,0.9225691186535373,0.006436541577776669,0.21309961573994202,0.021552351597809945,0.05885469315226508,0.003979993861496543,0.9716819418718717,0.006436556031906399
problem,13,0.9222222222222223,0.011410886614690962,0.9188676781359971,0.011386399567818806,0.214315538914139,0.01640734491962242,0.058925878097564874,0.002720496857571322,0.9708897270898988,0.004328468110888299
problem,14,0.9469907407407409,0.016899733563374042,0.9444116841539495,0.018489294382521778,0.15680691014962495,0.02113920127844664,0.04303217096197803,0.007738887294921061,0.9855784588639873,0.0057439519113762876
problem,15,0.969675925925926,0.007246516593749326,0.9682579374987519,0.007658509684613673,0.1097487790719025,0.012540575666242388,0.027808912269225293,0.004604269725140267,0.9919902671271906,0.002738763318980215
problem,16,0.9625,0.007527598398846776,0.9607707707652138,0.008861139804183014,0.12557111963174988,0.007583976836607283,0.032947723530178455,0.0029485579411560104,0.9899390756368863,0.002755447106306021
problem,17,0.961111111111111,0.009942931293941916,0.9603255776450327,0.008729683793728543,0.12146453944868645,0.011920848860220348,0.031076848831362202,0.0039053414595047937,0.9906418638363224,0.004256257023495174
problem,18,0.9652777777777779,0.014104233341381889,0.9641189882375659,0.014730775076103271,0.12053939947011412,0.028185088452063117,0.029896354852741468,0.00879462050839988,0.9900211276048289,0.005402108498665011
problem,19,0.9604166666666666,0.016024973276686554,0.9588545376451872,0.016818516280190487,0.12707286116237784,0.02057789522303264,0.03241932415741291,0.007029220207254556,0.9894319467865316,0.006721919660169622
problem,20,0.9469907407407406,0.004042650276984488,0.9459787075250812,0.0044105602668259945,0.15236985236861983,0.011167465331484862,0.040079809183172305,0.003952897690852357,0.9865696932180252,0.004838786348478069
problem,21,0.9486111111111111,0.008987624378850504,0.9483758697609123,0.00871349837139758,0.15836877180993553,0.015991359258005124,0.04106522392120323,0.0036599819174525775,0.9859585922130718,0.005904921516544641
problem,22,0.9483796296296296,0.01111954733747726,0.9477735646025657,0.011185151235832488,0.17049188584704827,0.02423487194851375,0.04349044570589946,0.004867169407037062,0.984229382173341,0.005699721186135377
