persona,progress,dimension,mean_centered_delta,sem_centered_delta
Probability-Weighted Decision-Maker,0.75,maximum_loss,0.10065810587410533,0.013372983945693587
Probability-Weighted Decision-Maker,0.75,minimum_gain,0.043021552381150026,0.013710898851547474
Probability-Weighted Decision-Maker,0.75,minimum_loss,0.06308048335011535,0.012428135502473276
Probability-Weighted Decision-Maker,0.75,probability_maximum_gain,0.06576613842759868,0.011234203086746367
Probability-Weighted Decision-Maker,0.75,probability_maximum_loss,-0.11316913719329784,0.01260511590493975
Probability-Weighted Decision-Maker,0.75,probability_minimum_gain,0.04684599640127407,0.014287154760854851
Probability-Weighted Decision-Maker,0.75,probability_minimum_loss,-0.1297444859280566,0.009940476332521559
Probability-Weighted Decision-Maker,0.75,probability_two_largest_gains,0.0946329635937902,0.010783401834948102
Probability-Weighted Decision-Maker,0.75,sum_two_largest_gains,0.06702546719946846,0.010050327812406057
Probability-Weighted Decision-Maker,1.0,entropy,-0.005796061643129715,0.012412337870408461
Probability-Weighted Decision-Maker,1.0,expected_value,-0.055363798821176896,0.015716499391762676
Probability-Weighted Decision-Maker,1.0,maximum_gain,-0.04586152863740601,0.014277087381481868
Probability-Weighted Decision-Maker,1.0,maximum_loss,-0.06541356662294276,0.016290596195772982
Probability-Weighted Decision-Maker,1.0,minimum_gain,-0.025987600729687765,0.011954808910937795
Probability-Weighted Decision-Maker,1.0,minimum_loss,-0.11420093430802632,0.01711508058066525
Probability-Weighted Decision-Maker,1.0,probability_maximum_gain,0.02187654292529553,0.011399332797798777
Probability-Weighted Decision-Maker,1.0,probability_maximum_loss,0.042481858336542395,0.013243418674227814
Probability-Weighted Decision-Maker,1.0,probability_minimum_gain,-0.00681332094072504,0.013736288873860164
Probability-Weighted Decision-Maker,1.0,probability_minimum_loss,-0.03439870374986529,0.011141319398970664
Probability-Weighted Decision-Maker,1.0,probability_two_largest_gains,0.009024769064576025,0.00892766418163253
Probability-Weighted Decision-Maker,1.0,sum_two_largest_gains,-0.003980267499206349,0.00908102476193643
Rational Decision-Maker,0.0,entropy,0.0,0.0
Rational Decision-Maker,0.0,expected_value,0.0,0.0
Rational Decision-Maker,0.0,maximum_gain,0.0,0.0
Rational Decision-Maker,0.0,maximum_loss,0.0,0.0
Rational Decision-Maker,0.0,minimum_gain,0.0,0.0
Rational Decision-Maker,0.0,minimum_loss,0.0,0.0
Rational Decision-Maker,0.0,probability_maximum_gain,0.0,0.0
Rational Decision-Maker,0.0,probability_maximum_loss,0.0,0.0
Rational Decision-Maker,0.0,probability_minimum_gain,0.0,0.0
Rational Decision-Maker,0.0,probability_minimum_loss,0.0,0.0
Rational Decision-Maker,0.0,probability_two_largest_gains,0.0,0.0
Rational Decision-Maker,0.0,sum_two_largest_gains,0.0,0.0
Rational Decision-Maker,0.25,entropy,0.05401064466189278,0.015844443647403596
Rational Decision-Maker,0.25,expected_value,-0.03498695893556065,0.01179238563382396
Rational Decision-Maker,0.25,maximum_gain,-0.05448218105571349,0.015328321913540579
Rational Decision-Maker,0.25,maximum_loss,-0.02383948697111392,0.010618920038084897
Rational Decision-Maker,0.25,minimum_gain,-0.021164643916204758,0.016697998364128688
Rational Decision-Maker,0.25,minimum_loss,-0.014764830531128093,0.014071812950438807
Rational Decision-Maker,0.25,probability_maximum_gain,-0.017295515367915033,0.011149572513537428
Rational Decision-Maker,0.25,probability_maximum_loss,0.05820403308028533,0.011698767737874356
Rational Decision-Maker,0.25,probability_minimum_gain,-0.044325867203113455,0.014328747543606031
Rational Decision-Maker,0.25,probability_minimum_loss,0.04755628629821893,0.011002179350197792
Rational Decision-Maker,0.25,probability_two_largest_gains,-0.04341117770125377,0.009301522563501115
Rational Decision-Maker,0.25,sum_two_largest_gains,-0.054581507195355455,0.009632624116803294
Rational Decision-Maker,0.5,entropy,0.03401940031341332,0.011533533974592017
Rational Decision-Maker,0.5,expected_value,0.05007332023758666,0.014782210411475828
Rational Decision-Maker,0.5,maximum_gain,-0.018282707425986845,0.013965880412852502
Rational Decision-Maker,0.5,maximum_loss,0.057936793716589385,0.015145811368308431
Rational Decision-Maker,0.5,minimum_gain,0.0038789670012437352,0.015808557224706952
Rational Decision-Maker,0.5,minimum_loss,0.04020598490390392,0.015676236878175345
Rational Decision-Maker,0.5,probability_maximum_gain,0.06373774689842157,0.011512077452666334
Rational Decision-Maker,0.5,probability_maximum_loss,-0.03602844101656908,0.014416342304269107
Rational Decision-Maker,0.5,probability_minimum_gain,0.05625590191795322,0.014368679131875377
Rational Decision-Maker,0.5,probability_minimum_loss,-0.038854860392571015,0.012645287032022317
Rational Decision-Maker,0.5,probability_two_largest_gains,0.03638368050238748,0.01181962047706301
Rational Decision-Maker,0.5,sum_two_largest_gains,-0.010752228871597228,0.010695790121336021
Rational Decision-Maker,0.75,entropy,-0.028866992904672602,0.009308401663887909
Rational Decision-Maker,0.75,expected_value,0.00016884786184601536,0.015887138182169414
Rational Decision-Maker,0.75,maximum_gain,-0.015025414135157945,0.01464964511811845
Rational Decision-Maker,0.75,maximum_loss,-0.0024133132315337707,0.013788786456725913
Rational Decision-Maker,0.75,minimum_gain,0.005731390097625577,0.014258198065445604
Rational Decision-Maker,0.75,minimum_loss,-0.027472085406288798,0.012938872148015545
Rational Decision-Maker,0.75,probability_maximum_gain,0.018702705330267858,0.013870533834320199
Rational Decision-Maker,0.75,probability_maximum_loss,0.026155857259033,0.015370697924083592
Rational Decision-Maker,0.75,probability_minimum_gain,-0.01163898506851916,0.017974385724473015
Rational Decision-Maker,0.75,probability_minimum_loss,-0.025537002847473893,0.01219978035814935
Rational Decision-Maker,0.75,probability_two_largest_gains,0.01571359192241802,0.011280817323534498
Rational Decision-Maker,0.75,sum_two_largest_gains,-0.002395624790681913,0.009615829975332309
Rational Decision-Maker,1.0,entropy,0.002167818398223663,0.01222724891448025
Rational Decision-Maker,1.0,expected_value,-0.03267213845689118,0.012039352135125185
Rational Decision-Maker,1.0,maximum_gain,-0.05885109835883457,0.012537358353499062
Rational Decision-Maker,1.0,maximum_loss,-0.018551346755273597,0.013187669951592873
Rational Decision-Maker,1.0,minimum_gain,-0.04314590398532686,0.011309289741687252
Rational Decision-Maker,1.0,minimum_loss,-0.05445863206524436,0.01425426426290649
Rational Decision-Maker,1.0,probability_maximum_gain,-0.00438441399207289,0.010652261607572806
Rational Decision-Maker,1.0,probability_maximum_loss,0.0739416331584221,0.011742545094010858
Rational Decision-Maker,1.0,probability_minimum_gain,-0.011948733997867897,0.012740877960271046
Rational Decision-Maker,1.0,probability_minimum_loss,-0.007129090087361532,0.010077991969138616
Rational Decision-Maker,1.0,probability_two_largest_gains,-0.00637099154677736,0.007022399683653765
Rational Decision-Maker,1.0,sum_two_largest_gains,-0.022099582208604848,0.006781593201596295
Risk-Averse,0.0,entropy,0.0,0.0
Risk-Averse,0.0,expected_value,0.0,0.0
Risk-Averse,0.0,maximum_gain,0.0,0.0
Risk-Averse,0.0,maximum_loss,0.0,0.0
Risk-Averse,0.0,minimum_gain,0.0,0.0
Risk-Averse,0.0,minimum_loss,0.0,0.0
Risk-Averse,0.0,probability_maximum_gain,0.0,0.0
Risk-Averse,0.0,probability_maximum_loss,0.0,0.0
Risk-Averse,0.0,probability_minimum_gain,0.0,0.0
Risk-Averse,0.0,probability_minimum_loss,0.0,0.0
Risk-Averse,0.0,probability_two_largest_gains,0.0,0.0
Risk-Averse,0.0,sum_two_largest_gains,0.0,0.0
Risk-Averse,0.25,entropy,-0.11129930768515608,0.011744163610979814
Risk-Averse,0.25,expected_value,0.012502422101939352,0.012692680554252354
